127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001195
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001803
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001332
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001115
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000238
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000536
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000677
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000903
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001263
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002543
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000665
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001855
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000402
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.005595
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000852
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001730
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001545
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001191
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000336
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002175
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000816
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000307
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001234
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.003088
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000594
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001398
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000800
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/js/typeahead.min.js, HTTP/1.1, 200, 0.000535
127.0.0.1, 2014-03-22 15:01:42, GET, /admin/static/_2.9.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002220
